,n_products,n_brands,n_reviews,n_firststar,n_secondstar,n_thirdstar,n_fourstar,n_fivestar,price,avg_reviews,n_brand,avg_review,price_v
Water,413,"[Embryolisse, Kate Somerville, Eve Lom, Dr. Jart+, Jack Black, Farmacy, DERMAdoctor, Algenist, Anthony, Eve Lom, philosophy, Caolion, Kate Somerville, Jurlique, Peter Thomas Roth, Jurlique, boscia, belif, DERMAdoctor, Givenchy, Caolion, philosophy, philosophy, Too Cool For School, Too Cool For School, VERSO SKINCARE, Dr. Jart+, L’Occitane, Perricone MD, Kenzoki, Dr. Dennis Gross Skincare, Origins, Shiseido, Origins, Jurlique, philosophy, Lancôme, philosophy, Ole Henriksen, Dr. Dennis Gross Skincare, Lancôme, MDSolarSciences, Ole Henriksen, Dr. Jart+, Kenzoki, Erno Laszlo, philosophy, Ole Henriksen, philosophy, Tria, Eve Lom, MILK MAKEUP, Perricone MD, Kenzoki, belif, KORRES, philosophy, L’Occitane, Jurlique, Lavett &amp; Chin, belif, Peter Thomas Roth, Dr. Jart+, Lancôme, Caolion, Lancôme, Dr. Jart+, First Aid Beauty, Jurlique, Kenzoki, Kenzoki, Human + Kind, Kenzoki, Clarisonic, Supergoop!, ARDENCY INN, philosophy, Too Cool For School, Erborian, Algenist, Koh Gen Do, Erborian, Shiseido, Erborian, L’Occitane, Lancôme, VERSO SKINCARE, Kate Somerville, Cinema Secrets, Dr. Jart+, Perricone MD, Skin Inc., Koh Gen Do, Dr. Brandt Skincare, MILK MAKEUP, Koh Gen Do, Human + Kind, Guerlain, Tria, First Aid Beauty, ...]",62610.0,4338.0,4136.0,4843.0,11254.0,29713.0,"[40.0, 65.0, 110.0, 30.0, 38.0, 44.0, 65.0, 48.0, 38.0, 75.0, 25.0, 40.0, 175.0, 53.0, 80.0, 47.0, 46.0, 48.0, 85.0, 64.0, 38.0, 47.0, 22.0, 20.0, 20.0, 100.0, 12.0, 116.0, 69.0, 45.0, 42.0, 41.0, 25.0, 53.0, 44.0, 75.0, 97.0, 16.0, 22.0, 42.0, 104.0, 68.0, 22.0, 48.0, 59.0, 115.0, 14.0, 22.0, 30.0, 65.0, 68.0, 22.0, 115.0, 49.0, 46.0, 34.0, 35.0, 16.0, 44.0, 32.0, 42.0, 28.0, 50.0, 49.0, 16.0, 26.0, 39.0, 34.0, 65.0, 62.0, 62.0, 0.0, 22.0, 44.0, 30.0, 29.0, 47.0, 17.0, 48.0, 70.0, 55.0, 39.0, 175.0, 24.0, 49.0, 50.0, 100.0, 65.0, 22.0, 45.0, 290.0, 45.0, 55.0, 39.0, 24.0, 50.0, 0.0, 29.5, 60.0, 38.0, ...]","[3.2222, 4.4118, 0.0, 3.95, 4.0, 3.3881, 4.1429, 3.7143, 2.7436, 5.0, 4.2091, 3.75, 0.0, 4.0286, 4.0556, 3.8235, 3.8462, 4.6154, 3.9225, 4.0, 4.2083, 2.8378, 0.0, 4.45, 4.3043, 4.25, 2.7778, 4.3333, 3.3, 3.8571, 3.6471, 4.5714, 4.35, 4.0435, 4.5393, 3.0, 4.125, 0.0, 4.0588, 2.614, 3.5625, 4.2, 4.1364, 3.6047, 4.2, 5.0, 0.0, 3.8889, 4.2, 5.0, 3.5714, 4.6, 4.0, 4.4375, 4.3636, 4.2914, 0.0, 3.3333, 4.1778, 4.6667, 3.2857, 3.25, 4.5, 4.2308, 4.3, 3.75, 3.6471, 3.7143, 4.4737, 5.0, 5.0, 3.8333, 3.6364, 2.3333, 4.25, 4.25, 0.0, 3.2857, 3.0, 3.2414, 3.7727, 4.3333, 5.0, 5.0, 5.0, 4.4423, 4.3, 4.1818, 4.25, 4.1127, 4.0345, 4.0, 4.0, 3.9, 3.7745, 3.3333, 3.0, 0.0, 0.0, 3.7664, ...]",77.0,4.03655326877,59.5133171913
Glycerin,403,"[Embryolisse, Eve Lom, Dr. Jart+, Jack Black, Farmacy, DERMAdoctor, Algenist, Eve Lom, philosophy, Marula, Kate Somerville, Jurlique, Peter Thomas Roth, Jurlique, DERMAdoctor, Givenchy, philosophy, philosophy, Farmacy, Too Cool For School, VERSO SKINCARE, Dr. Jart+, L’Occitane, Perricone MD, Kenzoki, Dr. Dennis Gross Skincare, Origins, Shiseido, Origins, Jurlique, philosophy, Lancôme, philosophy, Ole Henriksen, Dr. Dennis Gross Skincare, Lancôme, MDSolarSciences, Laura Mercier, Ole Henriksen, Dr. Jart+, Kenzoki, Erno Laszlo, philosophy, Ole Henriksen, philosophy, Tria, Eve Lom, Givenchy, MILK MAKEUP, Too Cool For School, Kenzoki, belif, KORRES, L’Occitane, Jurlique, Lavett &amp; Chin, belif, Dr. Jart+, Lancôme, Caolion, Dr. Jart+, Laura Mercier, First Aid Beauty, Jurlique, Kenzoki, Kenzoki, Clarisonic, Supergoop!, ARDENCY INN, philosophy, Lancôme, Too Cool For School, Erborian, Algenist, Koh Gen Do, Erborian, L’Occitane, Lancôme, Koh Gen Do, VERSO SKINCARE, Kate Somerville, Cinema Secrets, Dr. Jart+, Dr. Brandt Skincare, MILK MAKEUP, Omorovicza, Koh Gen Do, Human + Kind, SK-II, Guerlain, Tria, First Aid Beauty, Murad, COVER FX, AmorePacific, Kate Somerville, Yu-Be, First Aid Beauty, Origins, Algenist, ...]",56498.0,3705.0,3651.0,4401.0,10141.0,28733.0,"[40.0, 110.0, 30.0, 38.0, 44.0, 65.0, 48.0, 75.0, 25.0, 68.0, 175.0, 53.0, 80.0, 47.0, 85.0, 64.0, 47.0, 22.0, 30.0, 20.0, 100.0, 12.0, 116.0, 69.0, 45.0, 42.0, 41.0, 25.0, 53.0, 44.0, 75.0, 97.0, 16.0, 22.0, 42.0, 104.0, 68.0, 98.0, 22.0, 48.0, 59.0, 115.0, 14.0, 22.0, 30.0, 65.0, 68.0, 36.0, 22.0, 49.0, 49.0, 46.0, 34.0, 16.0, 44.0, 32.0, 42.0, 50.0, 49.0, 16.0, 39.0, 42.0, 34.0, 65.0, 62.0, 22.0, 44.0, 30.0, 29.0, 47.0, 50.0, 17.0, 48.0, 70.0, 55.0, 24.0, 49.0, 50.0, 85.0, 100.0, 65.0, 22.0, 45.0, 39.0, 24.0, 260.0, 50.0, 0.0, 260.0, 29.5, 60.0, 38.0, 70.0, 38.0, 100.0, 150.0, 25.0, 22.0, 59.0, 48.0, ...]","[3.2222, 0.0, 3.95, 4.0, 3.3881, 4.1429, 3.7143, 5.0, 4.2091, 4.4375, 0.0, 4.0286, 4.0556, 3.8235, 3.9225, 4.0, 2.8378, 0.0, 3.7021, 4.3043, 4.25, 2.7778, 4.3333, 3.3, 3.8571, 3.6471, 4.5714, 4.35, 4.0435, 4.5393, 3.0, 4.125, 0.0, 4.0588, 2.614, 3.5625, 4.2, 3.7143, 4.1364, 3.6047, 4.2, 5.0, 0.0, 3.8889, 4.2, 5.0, 3.5714, 4.4375, 4.6, 3.4615, 4.4375, 4.3636, 4.2914, 3.3333, 4.1778, 4.6667, 3.2857, 4.5, 4.2308, 4.3, 3.6471, 4.3, 3.7143, 4.4737, 5.0, 3.6364, 2.3333, 4.25, 4.25, 0.0, 4.4219, 3.2857, 3.0, 3.2414, 3.7727, 5.0, 5.0, 4.4423, 4.375, 4.3, 4.1818, 4.25, 4.1127, 3.9, 3.7745, 3.5, 3.3333, 3.0, 3.0, 0.0, 0.0, 3.7664, 4.3571, 3.7396, 4.2846, 4.125, 4.5332, 4.1505, 4.6, 4.5909, ...]",79.0,4.06191935484,62.6501240695
Prunus Armeniaca (Apricot) Kernel Extract,33,"[Embryolisse, MILK MAKEUP, L’Occitane, Ole Henriksen, MILK MAKEUP, Erno Laszlo, Koh Gen Do, Origins, Tata Harper, Dr. Dennis Gross Skincare, Omorovicza, Peter Thomas Roth, KORRES, KORRES, KORRES, Kenzoki, Omorovicza, Origins, St. Tropez Tanning Essentials, Omorovicza, Dr. Brandt Skincare, Lancôme, Sunday Riley, KORRES, Lancôme, Giorgio Armani Beauty, KORRES, Caudalie, Kopari, Kate Somerville, Omorovicza, philosophy, Kate Somerville]",1859.0,161.0,100.0,116.0,283.0,1202.0,"[40.0, 24.0, 108.0, 22.0, 38.0, 55.0, 55.0, 43.0, 68.0, 62.0, 235.0, 48.0, 58.0, 62.0, 45.0, 59.0, 135.0, 51.0, 30.0, 160.0, 155.0, 50.0, 80.0, 54.0, 119.0, 55.0, 68.0, 158.0, 44.0, 85.0, 135.0, 80.0, 90.0]","[3.2222, 4.3824, 4.1905, 4.1364, 3.9394, 4.8571, 3.7727, 4.5773, 4.3125, 4.125, 4.3846, 4.3235, 4.1628, 4.32, 4.75, 4.8, 4.7143, 4.5625, 3.4545, 4.0, 3.5294, 4.2, 4.2609, 4.5276, 4.2941, 4.4074, 4.0339, 4.0899, 5.0, 4.3115, 4.1467, 3.9778, 4.0]",22.0,4.23536060606,77.9090909091
Isononyl Isononanoate,33,"[Embryolisse, Eve Lom, Kenzoki, Dr. Dennis Gross Skincare, Origins, Kenzoki, philosophy, L’Occitane, Clarins, KORRES, KORRES, Peter Thomas Roth, Erborian, Algenist, Lancer, Algenist, Kenzoki, REN, Murad, Primary Raw, Lancôme, philosophy, boscia, Dr. Dennis Gross Skincare, Dr. Jart+, philosophy, KORRES, boscia, Clarins, Too Cool For School, Algenist, Caudalie, Caudalie]",2933.0,176.0,202.0,262.0,640.0,1660.0,"[40.0, 110.0, 45.0, 42.0, 41.0, 59.0, 50.0, 49.0, 86.0, 36.0, 58.0, 98.0, 36.0, 115.0, 185.0, 78.0, 59.0, 38.0, 40.0, 38.0, 88.0, 48.0, 36.0, 42.0, 52.0, 52.0, 68.0, 38.0, 56.0, 36.0, 98.0, 59.0, 76.0]","[3.2222, 0.0, 3.8571, 3.6471, 4.5714, 4.2, 0.0, 5.0, 3.9524, 4.3082, 4.1628, 4.0, 4.525, 4.5714, 5.0, 4.3333, 4.8, 3.8485, 3.7568, 4.4444, 4.3061, 3.0, 3.6237, 3.5273, 4.1304, 4.614, 4.0339, 4.14, 4.4615, 3.9615, 4.087, 4.3258, 4.1136]",21.0,3.89470909091,62.1818181818
Hydroxyethyl Acrylate,58,"[Embryolisse, Eve Lom, belif, VERSO SKINCARE, L’Occitane, Dr. Dennis Gross Skincare, Ole Henriksen, L’Occitane, VERSO SKINCARE, SEPHORA COLLECTION, Jack Black, KORRES, Algenist, L’Occitane, Algenist, Algenist, boscia, Clarins, First Aid Beauty, Caudalie, philosophy, Erborian, belif, belif, Clarins, Eve Lom, philosophy, boscia, Fresh, Eve Lom, J.One, Dr. Dennis Gross Skincare, COOLA, Dr. Jart+, IT Cosmetics, tarte, philosophy, KORRES, Perricone MD, Dr. Dennis Gross Skincare, KORRES, philosophy, AmorePacific, Murad, Clarins, Dr. Dennis Gross Skincare, philosophy, SEPHORA COLLECTION, KORRES, tarte, Caudalie, Algenist, AmorePacific, Dr. Jart+, SEPHORA COLLECTION, Perricone MD, Kate Somerville, Fresh]",5641.0,405.0,380.0,471.0,977.0,3415.0,"[40.0, 110.0, 48.0, 100.0, 116.0, 42.0, 22.0, 49.0, 100.0, 19.0, 30.0, 58.0, 42.0, 42.0, 65.0, 75.0, 34.0, 134.0, 38.0, 39.0, 68.0, 43.0, 42.0, 42.0, 53.0, 72.0, 48.0, 36.0, 38.0, 75.0, 50.0, 42.0, 52.0, 42.0, 48.0, 39.0, 52.0, 48.0, 75.0, 72.0, 68.0, 65.0, 150.0, 48.0, 53.0, 58.0, 39.0, 23.0, 45.0, 44.0, 59.0, 90.0, 195.0, 34.0, 0.0, 75.0, 90.0, 40.0]","[3.2222, 0.0, 4.6154, 4.25, 4.3333, 3.6471, 4.0588, 5.0, 4.3, 4.875, 5.0, 4.1628, 4.1096, 4.675, 4.2235, 3.9053, 4.2056, 4.5, 4.032, 4.0847, 3.3235, 4.1081, 4.3529, 4.3529, 4.0, 1.0, 3.0, 3.6237, 3.4118, 5.0, 3.9091, 3.5273, 4.1471, 3.6512, 4.6538, 4.3934, 4.614, 4.2586, 4.1726, 4.1625, 4.0339, 3.8125, 4.1667, 4.325, 4.5, 4.037, 3.9262, 4.0597, 4.3685, 3.925, 4.3258, 4.5714, 3.8125, 4.25, 4.1409, 3.96, 4.0, 4.0811]",27.0,4.01998275862,58.8965517241
Sodium Acryloyldimethyl,1,[Embryolisse],18.0,4.0,3.0,3.0,1.0,7.0,[40.0],[3.2222],1.0,3.2222,40.0
Taurate Copolymer,1,[Embryolisse],18.0,4.0,3.0,3.0,1.0,7.0,[40.0],[3.2222],1.0,3.2222,40.0
Squalane,112,"[Embryolisse, Eve Lom, Kate Somerville, Cane + Austin, Farmacy, VERSO SKINCARE, Origins, L’Occitane, Origins, Dr. Dennis Gross Skincare, Lancôme, Laura Mercier, Lancôme, Perricone MD, Too Cool For School, belif, Koh Gen Do, AmorePacific, Guerlain, L’Occitane, bareMinerals, Kate Somerville, First Aid Beauty, Origins, Origins, Herbivore, Origins, Dr. Dennis Gross Skincare, Peter Thomas Roth, Omorovicza, GLAMGLOW, bareMinerals, DERMAdoctor, First Aid Beauty, Dr. Dennis Gross Skincare, Algenist, SK-II, boscia, MDSolarSciences, Caudalie, Algenist, boscia, Clarins, Caudalie, Caudalie, Dr. Dennis Gross Skincare, DERMAdoctor, philosophy, Omorovicza, Origins, Omorovicza, Origins, Origins, Eve Lom, First Aid Beauty, belif, Lancer, philosophy, boscia, Fresh, Origins, Eve Lom, Clarins, Lancer, REN, First Aid Beauty, bareMinerals, Origins, Origins, Shiseido, IT Cosmetics, Shiseido, KORRES, tarte, Origins, philosophy, Origins, tarte, Ole Henriksen, Origins, Origins, First Aid Beauty, philosophy, AmorePacific, Algenist, Lancer, Origins, boscia, Dr. Brandt Skincare, Origins, Shiseido, Dr. Dennis Gross Skincare, Perricone MD, philosophy, SEPHORA COLLECTION, Too Cool For School, Origins, tarte, First Aid Beauty, Caudalie, ...]",18065.0,1086.0,1046.0,1255.0,3112.0,7830.0,"[40.0, 110.0, 175.0, 80.0, 30.0, 100.0, 41.0, 108.0, 53.0, 42.0, 104.0, 98.0, 49.0, 115.0, 49.0, 46.0, 55.0, 195.0, 29.5, 140.0, 30.0, 150.0, 22.0, 59.0, 43.0, 64.0, 43.0, 62.0, 62.0, 235.0, 69.0, 35.0, 38.0, 30.0, 65.0, 65.0, 150.0, 36.0, 39.0, 39.0, 75.0, 34.0, 134.0, 39.0, 44.0, 125.0, 57.0, 68.0, 135.0, 51.0, 160.0, 59.0, 62.0, 72.0, 20.0, 38.0, 155.0, 48.0, 36.0, 38.0, 60.0, 75.0, 92.0, 125.0, 38.0, 30.0, 29.5, 43.0, 27.5, 58.0, 48.0, 75.0, 54.0, 39.0, 44.0, 52.0, 43.0, 24.0, 48.0, 37.0, 60.0, 24.0, 65.0, 150.0, 94.0, 125.0, 53.0, 46.0, 67.0, 59.0, 58.0, 78.0, 75.0, 39.0, 23.0, 36.0, 52.0, 44.0, 12.0, 59.0, ...]","[3.2222, 0.0, 0.0, 4.5, 3.7021, 4.25, 4.5714, 4.1905, 4.0435, 2.614, 3.5625, 3.7143, 4.6429, 4.0, 3.4615, 4.3636, 4.0, 3.5, 0.0, 0.0, 4.6129, 4.125, 4.1505, 4.6, 4.5773, 4.65, 4.3704, 4.125, 4.232, 4.3846, 3.9591, 4.4, 3.3798, 3.9259, 4.75, 4.2235, 4.493, 4.15, 4.1739, 4.1215, 3.9053, 4.2056, 4.5, 4.0847, 4.0571, 4.0357, 4.2283, 3.3235, 4.7143, 4.5625, 4.0, 3.0, 4.0909, 1.0, 4.6667, 3.8333, 4.6, 3.0, 3.6237, 3.4118, 5.0, 5.0, 4.1765, 4.25, 4.6364, 4.596, 3.9032, 4.3472, 4.2441, 4.414, 4.6538, 4.6117, 4.5276, 4.3934, 3.9722, 4.614, 4.3784, 4.2528, 4.0056, 4.1717, 4.5556, 4.2091, 3.8125, 4.1667, 4.4619, 4.8333, 4.1067, 4.5188, 4.125, 4.5, 4.2405, 4.3426, 4.4722, 3.9262, 4.0597, 3.9615, 4.2403, 3.925, 5.0, 4.3258, ...]",41.0,4.02132678571,66.78125
Butyrospermum Parkii (Shea) Butter,123,"[Embryolisse, Eve Lom, REN, Jack Black, Anthony, Marula, Caolion, Caolion, VERSO SKINCARE, Jurlique, Erno Laszlo, Eve Lom, Perricone MD, Jurlique, Kenzoki, philosophy, Algenist, L’Occitane, VERSO SKINCARE, Koh Gen Do, Omorovicza, Human + Kind, Guerlain, First Aid Beauty, Murad, Dr. Jart+, Tata Harper, VERSO SKINCARE, Origins, Dr. Dennis Gross Skincare, Omorovicza, KORRES, L’Occitane, Murad, KORRES, Peter Thomas Roth, COOLA, L’Occitane, NUDE Skincare, NUDE Skincare, First Aid Beauty, L’Occitane, REN, Caudalie, Clarins, Algenist, Dr. Brandt Skincare, Dr. Brandt Skincare, Omorovicza, Origins, MILK MAKEUP, REN, First Aid Beauty, Lancer, Primary Raw, Farmacy, Lancer, REN, Erborian, J.One, Clarins, Tata Harper, Lancer, REN, Jurlique, Fresh, First Aid Beauty, Josie Maran, SK-II, Caudalie, Dr. Jart+, Origins, AmorePacific, IT Cosmetics, First Aid Beauty, Caudalie, Fresh, Origins, GLAMGLOW, Origins, Herbivore, Peter Thomas Roth, Lancôme, Murad, Origins, Algenist, KORRES, First Aid Beauty, philosophy, philosophy, Algenist, Lancer, Dr. Brandt Skincare, Algenist, Perricone MD, Kopari, Kopari, Clarins, REN, Too Cool For School, ...]",16805.0,873.0,873.0,1101.0,2795.0,7432.0,"[40.0, 110.0, 55.0, 38.0, 38.0, 68.0, 40.0, 38.0, 100.0, 44.0, 115.0, 68.0, 115.0, 44.0, 62.0, 47.0, 70.0, 49.0, 100.0, 55.0, 260.0, 0.0, 29.5, 38.0, 70.0, 60.0, 68.0, 195.0, 43.0, 62.0, 235.0, 36.0, 28.0, 78.0, 58.0, 98.0, 36.0, 42.0, 0.0, 0.0, 30.0, 24.0, 48.0, 39.0, 134.0, 78.0, 65.0, 59.0, 160.0, 62.0, 20.0, 38.0, 20.0, 155.0, 38.0, 40.0, 82.0, 50.0, 55.0, 50.0, 92.0, 85.0, 125.0, 32.0, 50.0, 52.0, 30.0, 36.0, 230.0, 76.0, 48.0, 27.5, 195.0, 48.0, 38.0, 39.0, 92.0, 44.0, 49.0, 43.0, 58.0, 110.0, 119.0, 72.0, 37.0, 112.0, 68.0, 24.0, 65.0, 65.0, 94.0, 125.0, 67.0, 94.0, 75.0, 44.0, 44.0, 56.0, 45.0, 36.0, ...]","[3.2222, 0.0, 4.3939, 4.0, 2.7436, 4.4375, 3.75, 4.2083, 4.25, 4.5393, 5.0, 3.5714, 4.0, 4.1778, 5.0, 0.0, 3.2414, 5.0, 4.3, 4.0, 3.5, 3.0, 0.0, 3.7664, 4.3571, 5.0, 4.3125, 4.0, 4.3704, 4.125, 4.3846, 4.3082, 4.3913, 3.8, 4.1628, 4.0, 4.0294, 4.675, 3.8571, 3.8571, 3.9259, 4.4248, 4.2154, 4.1215, 4.5, 4.3333, 4.087, 4.2432, 4.0, 4.0909, 4.4, 4.3934, 4.6667, 4.6, 4.4444, 3.3873, 4.1818, 4.3333, 5.0, 3.9091, 4.1765, 3.3684, 4.25, 4.3176, 4.58, 3.3421, 4.596, 4.0435, 5.0, 4.7273, 4.5106, 4.2441, 4.3368, 4.6538, 4.3297, 4.2827, 4.0448, 3.9722, 4.0991, 4.3784, 3.8071, 4.1789, 4.2941, 4.4519, 4.1717, 4.3818, 4.0339, 4.2091, 3.8125, 3.8125, 4.4619, 4.8333, 4.125, 4.3385, 4.4722, 5.0, 5.0, 4.4615, 4.2645, 3.9615, ...]",53.0,4.13394471545,69.3170731707
Polymethylmetacrylate,1,[Embryolisse],18.0,4.0,3.0,3.0,1.0,7.0,[40.0],[3.2222],1.0,3.2222,40.0
Corn Starch Modified,8,"[Embryolisse, L’Occitane, L’Occitane, Clarins, Dr. Dennis Gross Skincare, L’Occitane, L’Occitane, Murad]",1863.0,137.0,116.0,117.0,397.0,91.0,"[40.0, 116.0, 49.0, 86.0, 62.0, 28.0, 42.0, 39.5]","[3.2222, 4.3333, 5.0, 3.9524, 4.125, 4.3913, 4.675, 4.1753]",5.0,4.2343125,57.8125
Biosaccharide Gum-1,19,"[Embryolisse, Jurlique, Givenchy, AmorePacific, Algenist, SEPHORA COLLECTION, L’Occitane, Algenist, belif, Jurlique, Lancôme, Clarins, IT Cosmetics, Caudalie, philosophy, May Coop, Too Cool For School, Tatcha, SEPHORA COLLECTION]",2020.0,108.0,111.0,153.0,374.0,1282.0,"[40.0, 47.0, 36.0, 100.0, 48.0, 19.0, 42.0, 115.0, 42.0, 55.0, 49.0, 92.0, 48.0, 39.0, 65.0, 43.0, 36.0, 150.0, 0.0]","[3.2222, 3.8235, 4.4375, 4.2846, 4.5909, 4.875, 4.675, 4.5714, 4.3529, 5.0, 4.3214, 4.1765, 4.6538, 4.2827, 3.8125, 4.4784, 3.9615, 4.0238, 4.1409]",16.0,4.29918421053,56.1052631579
Hydrogenated Polyisobutene,44,"[Embryolisse, philosophy, Peter Thomas Roth, Dr. Jart+, Lancôme, Lancôme, Kenzoki, Too Cool For School, Kenzoki, Guerlain, AmorePacific, belif, KORRES, Fresh, bareMinerals, Peter Thomas Roth, Clarins, philosophy, Shiseido, Kenzoki, philosophy, Dr. Brandt Skincare, Dr. Brandt Skincare, Fresh, MILK MAKEUP, Primary Raw, J.One, Lancôme, Origins, Lancôme, Origins, Sunday Riley, boscia, IT Cosmetics, Fresh, Shiseido, Lancôme, Too Cool For School, Lancôme, bareMinerals, SEPHORA COLLECTION, Peter Thomas Roth, Shiseido, bareMinerals]",5711.0,296.0,308.0,410.0,1024.0,2213.0,"[40.0, 25.0, 80.0, 12.0, 97.0, 104.0, 59.0, 49.0, 49.0, 150.0, 100.0, 58.0, 36.0, 42.0, 35.0, 42.0, 134.0, 36.0, 110.0, 59.0, 68.0, 65.0, 61.0, 67.0, 20.0, 38.0, 50.0, 49.0, 51.0, 97.0, 43.0, 65.0, 30.0, 48.0, 90.0, 124.0, 49.0, 36.0, 52.0, 38.0, 23.0, 75.0, 100.0, 35.0]","[3.2222, 4.2091, 4.0556, 2.7778, 4.125, 3.5625, 4.2, 3.4615, 4.4375, 2.6667, 4.2846, 5.0, 4.3082, 4.5593, 4.4, 4.5192, 4.5, 3.9431, 0.0, 4.8, 3.3235, 4.087, 3.9717, 3.9655, 4.4, 4.4444, 3.9091, 4.3214, 5.0, 4.2, 4.3117, 4.2347, 4.4746, 4.6538, 4.169, 4.2812, 4.3519, 3.9615, 4.4521, 4.6957, 4.3135, 4.6122, 4.6667, 4.4]",24.0,4.09621590909,61.1590909091
Carbomer,146,"[Embryolisse, Peter Thomas Roth, DERMAdoctor, Too Cool For School, Kenzoki, Dr. Dennis Gross Skincare, Origins, Dr. Dennis Gross Skincare, MDSolarSciences, Laura Mercier, Kenzoki, philosophy, belif, belif, Dr. Jart+, ARDENCY INN, philosophy, Lancôme, Erborian, Lancôme, Koh Gen Do, Kate Somerville, Dr. Jart+, Skin Inc., Koh Gen Do, Guerlain, First Aid Beauty, AmorePacific, SEPHORA COLLECTION, Jack Black, Fresh, boscia, belif, Origins, Clarins, Dr. Dennis Gross Skincare, Peter Thomas Roth, Shiseido, L’Occitane, Clarins, Peter Thomas Roth, bareMinerals, Murad, DERMAdoctor, Peter Thomas Roth, Kate Somerville, SK-II, boscia, Lancôme, Caudalie, boscia, Clarins, Algenist, Blithe, Shiseido, philosophy, Dr. Dennis Gross Skincare, Perricone MD, DERMAdoctor, Kenzoki, Omorovicza, bareMinerals, Dr. Brandt Skincare, REN, philosophy, Algenist, belif, Kate Somerville, Origins, Laura Mercier, Origins, Origins, Origins, Eve Lom, REN, belif, Laura Mercier, boscia, Dr. Jart+, belif, Erborian, REN, Fresh, Laura Mercier, Dr. Dennis Gross Skincare, Lancer, Kate Somerville, Fresh, Origins, Drunk Elephant, belif, Dr. Jart+, Origins, AmorePacific, IT Cosmetics, First Aid Beauty, Ole Henriksen, SEPHORA COLLECTION, IT Cosmetics, Origins, ...]",19166.0,1184.0,1205.0,1514.0,3566.0,10675.0,"[40.0, 80.0, 85.0, 20.0, 45.0, 42.0, 53.0, 42.0, 68.0, 98.0, 59.0, 14.0, 46.0, 42.0, 39.0, 29.0, 47.0, 50.0, 24.0, 50.0, 85.0, 65.0, 45.0, 45.0, 50.0, 29.5, 38.0, 100.0, 19.0, 30.0, 33.0, 46.0, 58.0, 43.0, 86.0, 62.0, 62.0, 33.5, 28.0, 88.0, 98.0, 35.0, 55.0, 38.0, 42.0, 48.0, 140.0, 36.0, 86.0, 39.0, 34.0, 134.0, 78.0, 46.0, 57.0, 36.0, 125.0, 155.0, 57.0, 59.0, 135.0, 32.0, 59.0, 38.0, 24.0, 25.0, 38.0, 48.0, 59.0, 98.0, 65.0, 62.0, 65.0, 72.0, 38.0, 38.0, 53.0, 38.0, 38.0, 38.0, 39.0, 50.0, 38.0, 53.0, 42.0, 125.0, 48.0, 45.0, 43.0, 60.0, 38.0, 48.0, 27.5, 195.0, 48.0, 38.0, 55.0, 23.0, 32.0, 43.0, ...]","[3.2222, 4.0556, 3.9225, 4.45, 3.8571, 3.6471, 4.0435, 2.614, 4.2, 3.7143, 4.2, 0.0, 4.3636, 3.2857, 3.6471, 4.25, 0.0, 4.4219, 5.0, 4.4423, 4.375, 4.1818, 4.1127, 4.0, 3.3333, 0.0, 3.7664, 4.2846, 4.875, 5.0, 3.9381, 3.9933, 5.0, 4.3704, 3.9524, 4.125, 4.232, 4.0359, 4.3913, 4.0854, 4.0, 4.4, 3.9057, 3.3798, 4.5192, 4.0278, 4.25, 4.15, 5.0, 4.1215, 4.2056, 4.5, 4.3333, 5.0, 3.9091, 3.9431, 4.0357, 4.6, 4.2283, 4.8, 4.7143, 3.7895, 4.2432, 3.8485, 4.3, 4.4, 4.2609, 3.5645, 3.0, 4.0, 4.2083, 4.0909, 4.0, 1.0, 4.3934, 3.8333, 4.1364, 4.2188, 3.1607, 4.2593, 4.1852, 4.3333, 3.4118, 4.3158, 3.5273, 4.25, 3.7241, 4.2725, 4.3472, 4.4468, 4.5573, 4.5106, 4.2441, 4.3368, 4.6538, 4.3297, 4.2459, 4.3517, 4.2895, 4.3784, ...]",49.0,4.05998013699,60.3869863014
